Ticker,Company,Dividend Yield,,,,
BEN,"Franklin Resources, Inc",6.38%,,,,
O,Realty Income Corp,5.96%,,,,
AMCR,Amcor Plc,5.46%,,,,
CVX,Chevron Corp,4.42%,,,,
TROW,T. Rowe Price Group Inc,4.38%,,,,
SWK,Stanley Black & Decker Inc,4.04%,,,,
FRT,Federal Realty Investment Trust,4.01%,,,,
ADM,Archer Daniels Midland Co,3.99%,,,,
SJM,J.M. Smucker Co,3.87%,,,,
KVUE,Kenvue Inc,3.81%,,,,
ED,"Consolidated Edison, Inc",3.73%,,,,
HRL,Hormel Foods Corp,3.72%,,,,
KMB,Kimberly-Clark Corp,3.71%,,,,
XOM,Exxon Mobil Corp,3.59%,,,,
PEP,PepsiCo Inc,3.50%,,,,
ESS,"Essex Property Trust, Inc",3.47%,,,,
ABBV,Abbvie Inc,3.45%,,,,
GPC,Genuine Parts Co,3.42%,,,,
MDT,Medtronic Plc,3.35%,,,,
JNJ,Johnson & Johnson,3.22%,,,,
KO,Coca-Cola Co,3.14%,,,,
IBM,International Business Machines Corp,3.10%,,,,
TGT,Target Corp,3.08%,,,,
CLX,Clorox Co,3.05%,,,,
NEE,NextEra Energy Inc,2.88%,,,,
SYY,Sysco Corp,2.73%,,,,
APD,Air Products & Chemicals Inc,2.61%,,,,
ATO,Atmos Energy Corp,2.54%,,,,
PG,Procter & Gamble Co,2.41%,,,,
BF-B,Brown-Forman Corp,2.38%,,,,
CHRW,"C.H. Robinson Worldwide, Inc",2.37%,,,,
MCD,McDonald's Corp,2.31%,,,,
PPG,"PPG Industries, Inc",2.28%,,,,
CINF,Cincinnati Financial Corp,2.27%,,,,
ITW,"Illinois Tool Works, Inc",2.26%,,,,
CL,Colgate-Palmolive Co,2.23%,,,,
MKC,"McCormick & Co., Inc",2.21%,,,,
FAST,Fastenal Co,2.16%,,,,
GD,General Dynamics Corp,2.12%,,,,
ADP,Automatic Data Processing Inc,1.97%,,,,
ABT,Abbott Laboratories,1.96%,,,,
AFL,Aflac Inc,1.96%,,,,
AOS,A.O. Smith Corp,1.91%,,,,
ALB,Albemarle Corp,1.90%,,,,
NUE,Nucor Corp,1.88%,,,,
LOW,"Lowe's Cos., Inc",1.84%,,,,
EMR,Emerson Electric Co,1.76%,,,,
CAH,"Cardinal Health, Inc",1.75%,,,,
BDX,Becton Dickinson & Co,1.71%,,,,
NDSN,Nordson Corp,1.55%,,,,
CAT,Caterpillar Inc,1.50%,,,,
EXPD,"Expeditors International Of Washington, Inc",1.48%,,,,
LIN,Linde Plc,1.34%,,,,
CB,Chubb Limited,1.32%,,,,
DOV,Dover Corp,1.11%,,,,
CHD,"Church & Dwight Co., Inc",1.09%,,,,
ECL,"Ecolab, Inc",0.99%,,,,
WMT,Walmart Inc,0.93%,,,,
PNR,Pentair plc,0.92%,,,,
SHW,Sherwin-Williams Co,0.86%,,,,
GWW,W.W. Grainger Inc,0.78%,,,,
SPGI,S&P Global Inc,0.74%,,,,
CTAS,Cintas Corporation,0.72%,,,,
ROP,Roper Technologies Inc,0.53%,,,,
BRO,"Brown & Brown, Inc",0.53%,,,,
WST,"West Pharmaceutical Services, Inc",0.18%,,,,
